epoch,train_loss,val_loss,train_accuracy,val_accuracy
1,0.3512756397999188,0.24673248677496698,0.8585563301101866,0.8764331210191083
2,0.23496280411186715,0.20343690395924696,0.908252754666067,0.9006369426751593
3,0.2192083330724865,0.22689763358823814,0.9163480998425905,0.8853503184713376
4,0.19048147090826512,0.14960779750802713,0.9289408590060715,0.9299363057324841
5,0.18955928293394592,0.17715624415191117,0.9309646953002024,0.9146496815286624
6,0.16997597672670162,0.149844235874665,0.9361367213852035,0.932484076433121
7,0.1759830490274056,0.17383296392905484,0.9300652125028109,0.9159235668789809
8,0.16306131599001436,0.16976610881507775,0.935237238587812,0.9222929936305733
9,0.16203388031249585,0.14056542871674155,0.9471553856532494,0.9363057324840764
10,0.1646629556031717,0.1456843788551677,0.9368113334832472,0.932484076433121
